#timestamp [ns],p_WS_R_x [m],p_WS_R_y [m],p_WS_R_z [m]
1548808057701043128,26.7665,0.2132,-0.3075
1548808057799732446,26.7665,0.2129,-0.3075
1548808057912701368,26.7675,0.2136,-0.3071
1548808058032138824,26.7665,0.2122,-0.3078
1548808058099803924,26.7665,0.2125,-0.3078
1548808058151965856,26.7665,0.2136,-0.3075
1548808058200389862,26.7665,0.2139,-0.3075
1548808058272662162,26.7665,0.2132,-0.3075
1548808058401626348,26.7675,0.2132,-0.3075
1548808058514805793,26.7675,0.2136,-0.3075
1548808058600220203,26.7675,0.2132,-0.3075
1548808058701597452,26.7665,0.2132,-0.3075
1548808058754964590,26.7675,0.2132,-0.3075
1548808058877317428,26.7665,0.2136,-0.3075
1548808058957748174,26.7665,0.2133,-0.3075
1548808059100942850,26.7675,0.2129,-0.3071
1548808059200433731,26.7675,0.2132,-0.3075
1548808059237656593,26.7665,0.2136,-0.3075
1548808059299871683,26.7665,0.2132,-0.3075
1548808059360027074,26.7675,0.2132,-0.3075
1548808059479677915,26.7665,0.2132,-0.3075
1548808059601575613,26.7665,0.2136,-0.3075
1548808059700226068,26.7665,0.2132,-0.3075
1548808059799096584,26.7675,0.2132,-0.3078
1548808059842461109,26.7675,0.2132,-0.3075
1548808059957212686,26.7675,0.2133,-0.3075
1548808060084257364,26.7675,0.2132,-0.3075
1548808060200055122,26.7675,0.2139,-0.3075
1548808060300194501,26.7675,0.2132,-0.3082
1548808060400775432,26.7665,0.2132,-0.3075
1548808060564774513,26.7665,0.2136,-0.3078
1548808060686101198,26.7675,0.2129,-0.3075
1548808060799256324,26.7675,0.2126,-0.3075
1548808060959754705,26.7675,0.2129,-0.3075
1548808061100626230,26.7665,0.2119,-0.3074
1548808061169078588,26.7665,0.2129,-0.3075
1548808061289443731,26.7665,0.2132,-0.3078
1548808061399045944,26.7665,0.2132,-0.3078
1548808061530099391,26.7675,0.2122,-0.3075
1548808061599090576,26.7675,0.2129,-0.3075
1548808061651373863,26.7665,0.2132,-0.3075
1548808061700329542,26.7665,0.2132,-0.3075
1548808061771864175,26.7665,0.2132,-0.3075
1548808061894514083,26.7675,0.2122,-0.3078
1548808062013248443,26.7665,0.2132,-0.3075
1548808062100231409,26.7665,0.2132,-0.3075
1548808062200827598,26.7675,0.2132,-0.3075
1548808062254511356,26.7665,0.2132,-0.3078
1548808062374920606,26.7675,0.2126,-0.3075
1548808062502186775,26.7675,0.2132,-0.3075
1548808062617761135,26.7665,0.2129,-0.3071
1548808062699758052,26.7665,0.2129,-0.3071
1548808062736996412,26.7675,0.2129,-0.3075
