#timestamp [ns],p_WS_R_x [m],p_WS_R_y [m],p_WS_R_z [m]
1548881670886647224,-30.0801,0.2346,-0.7786
1548881671050877809,-30.0801,0.2346,-0.7786
1548881671172751426,-30.0811,0.2346,-0.7786
1548881671285650253,-30.0811,0.2346,-0.7786
1548881671445305347,-30.0801,0.2345,-0.7786
1548881671587488174,-30.0801,0.2349,-0.7786
1548881671661287307,-30.0801,0.2346,-0.7786
1548881671790883779,-30.0801,0.2346,-0.7786
1548881671904295682,-30.0801,0.2345,-0.7786
1548881671986621141,-30.0801,0.2345,-0.7786
1548881672087351322,-30.0801,0.2345,-0.7786
1548881672149537563,-30.0801,0.2345,-0.7785
1548881672270809650,-30.0791,0.2345,-0.7785
1548881672394356727,-30.0801,0.2345,-0.7786
1548881672515131235,-30.0801,0.2345,-0.7785
1548881672587318181,-30.0801,0.2345,-0.7785
1548881672636387586,-30.0801,0.2345,-0.7786
1548881672686729907,-30.0801,0.2345,-0.7786
1548881672759727001,-30.0801,0.2345,-0.7786
1548881672889434576,-30.0801,0.2346,-0.7786
1548881673004291772,-30.0801,0.2345,-0.7786
1548881673085986852,-30.0801,0.2346,-0.7786
1548881673125567674,-30.0801,0.2346,-0.7786
1548881673186331748,-30.0801,0.2346,-0.7786
1548881673248046875,-30.0791,0.2345,-0.7785
1548881673370124578,-30.0801,0.2346,-0.7786
1548881673486718416,-30.0801,0.2345,-0.7786
1548881673586985826,-30.0791,0.2345,-0.7785
1548881673685898780,-30.0801,0.2345,-0.7785
1548881673736263751,-30.0791,0.2345,-0.7785
1548881673786536216,-30.0791,0.2345,-0.7785
1548881673858329534,-30.0801,0.2345,-0.7785
1548881673987615346,-30.0801,0.2345,-0.7785
1548881674085599660,-30.0801,0.2345,-0.7785
1548881674185531377,-30.0801,0.2346,-0.7785
1548881674223070621,-30.0791,0.2345,-0.7785
1548881674286019802,-30.0791,0.2345,-0.7785
1548881674346482276,-30.0791,0.2345,-0.7785
1548881674468432664,-30.0801,0.2345,-0.7785
1548881674586752653,-30.0801,0.2345,-0.7785
1548881674687046051,-30.0801,0.2345,-0.7786
1548881674787379980,-30.0791,0.2345,-0.7793
1548881674956557750,-30.0801,0.2346,-0.7786
1548881675085421800,-30.0801,0.2345,-0.7786
1548881675186521291,-30.0801,0.2345,-0.7786
1548881675285712957,-30.0791,0.2345,-0.7785
1548881675447922468,-30.0791,0.2345,-0.7785
1548881675566774845,-30.0801,0.2345,-0.7785
1548881675688464641,-30.0801,0.2345,-0.7785
1548881675785533428,-30.0801,0.2346,-0.7786
1548881675886260032,-30.0801,0.2346,-0.7785
1548881676055493593,-30.0791,0.2345,-0.7785
1548881676177597045,-30.0791,0.2345,-0.7785
1548881676288497686,-30.0791,0.2345,-0.7785
