#timestamp [ns],p_WS_R_x [m],p_WS_R_y [m],p_WS_R_z [m]
1548882862570180892,-6.2143,11.5592,0.1858
1548882862690360069,-6.2148,11.5601,0.1858
1548882862816938638,-6.2143,11.5592,0.1858
1548882862916100978,-6.2143,11.5592,0.1858
1548882863015412569,-6.2148,11.5601,0.1858
1548882863054046392,-6.2148,11.5601,0.1858
1548882863174888372,-6.2143,11.5592,0.1858
1548882863270018815,-6.2143,11.5592,0.1858
1548882863418085575,-6.2143,11.5592,0.1858
1548882863515583992,-6.2148,11.5601,0.1858
1548882863615495443,-6.2148,11.5601,0.1858
1548882863780715703,-6.2143,11.5592,0.1858
1548882863901341676,-6.2143,11.5592,0.1858
1548882864015788316,-6.2143,11.5592,0.1858
1548882864116499185,-6.2148,11.5601,0.1858
1548882864272717714,-6.2143,11.5592,0.1858
1548882864384882450,-6.2143,11.5592,0.1858
1548882864506146669,-6.2143,11.5592,0.1858
1548882864616035938,-6.2143,11.5592,0.1858
1548882864748280525,-6.2143,11.5592,0.1858
1548882864816052913,-6.2143,11.5592,0.1858
1548882864871246576,-6.2148,11.5601,0.1858
1548882864990374088,-6.2143,11.5592,0.1858
1548882865118564367,-6.2143,11.5592,0.1858
1548882865232776641,-6.2143,11.5592,0.1858
1548882865315631389,-6.2143,11.5592,0.1858
1548882865353849887,-6.2143,11.5592,0.1858
1548882865415636301,-6.2143,11.5592,0.1858
1548882865474892139,-6.2148,11.5601,0.1858
1548882865595708847,-6.2143,11.5592,0.1858
1548882865718049526,-6.2143,11.5592,0.1858
1548882865816014051,-6.2143,11.5592,0.1858
1548882865917203903,-6.2143,11.5592,0.1858
1548882866015933275,-6.2143,11.5592,0.1858
1548882866084440469,-6.2143,11.5592,0.1858
1548882866271503448,-6.2143,11.5592,0.1858
1548882866322106838,-6.2143,11.5592,0.1858
1548882866415191650,-6.2143,11.5592,0.1858
1548882866516774892,-6.2143,11.5592,0.1858
1548882866562679767,-6.2143,11.5592,0.1858
1548882866683151721,-6.2143,11.5592,0.1858
1548882866804546833,-6.2143,11.5592,0.1858
1548882866916472673,-6.2143,11.5592,0.1858
1548882867015757799,-6.2143,11.5592,0.1858
1548882867115158796,-6.2143,11.5592,0.1858
1548882867270653009,-6.2143,11.5592,0.1858
1548882867416880607,-6.2143,11.5592,0.1854
1548882867516787052,-6.2143,11.5592,0.1854
1548882867615211009,-6.2143,11.5592,0.1854
1548882867772465229,-6.2148,11.5601,0.1858
1548882867893648386,-6.2148,11.5601,0.1858
1548882868018015861,-6.2143,11.5592,0.1858
1548882868116232156,-6.2143,11.5592,0.1858
1548882868271636009,-6.2136,11.5608,0.1858
1548882868379662513,-6.2101,11.5479,0.1859
1548882868500549793,-6.2022,11.526,0.1866
1548882868624729633,-6.1991,11.5049,0.1867
1548882868745097637,-6.1936,11.4772,0.187
1548882868823107481,-6.1973,11.4752,0.187
1548882868867330312,-6.1779,11.4437,0.1855
1548882868988450288,-6.1611,11.4084,0.1849
1548882869112512826,-6.1506,11.3789,0.1829
1548882869226748943,-6.1601,11.3738,0.1829
1548882869289647817,-6.1447,11.3457,0.1833
1548882869349133491,-6.1483,11.3438,0.1833
1548882869409390449,-6.1399,11.3176,0.1831
1548882869471449136,-6.1429,11.316,0.1831
1548882869592315435,-6.1125,11.2505,0.1828
1548882869712399005,-6.102,11.2107,0.1822
1548882869793490171,-6.1113,11.2056,0.1822
1548882869852965354,-6.0994,11.1768,0.1817
