#timestamp [ns],p_WS_R_x [m],p_WS_R_y [m],p_WS_R_z [m]
1548883669728037834,-6.1751,11.7024,0.1884
1548883669810587167,-6.1751,11.7024,0.1884
1548883669909579038,-6.1751,11.7024,0.1884
1548883669961515188,-6.1751,11.7024,0.1884
1548883670078145980,-6.1751,11.7024,0.1884
1548883670194880723,-6.1747,11.7016,0.1884
1548883670313094377,-6.1747,11.7016,0.1884
1548883670409700155,-6.1751,11.7024,0.1884
1548883670509714603,-6.1751,11.7024,0.1884
1548883670611332654,-6.1747,11.7016,0.1884
1548883670766022682,-6.1751,11.7024,0.1884
1548883670897092819,-6.1751,11.7024,0.1884
1548883671009990692,-6.1751,11.7024,0.1884
1548883671110568523,-6.1751,11.7024,0.1884
1548883671249633073,-6.1751,11.7024,0.1884
1548883671310111522,-6.1751,11.7024,0.1884
1548883671365505218,-6.1751,11.7024,0.1884
1548883671482080221,-6.1751,11.7024,0.1884
1548883671599429130,-6.1751,11.7024,0.1884
1548883671716148376,-6.1751,11.7024,0.1884
1548883671766027212,-6.1751,11.7024,0.1884
1548883671832996606,-6.1751,11.7024,0.1884
1548883671909716844,-6.1751,11.7024,0.1884
1548883672011335134,-6.1751,11.7024,0.1884
1548883672067331075,-6.1751,11.7024,0.1884
1548883672209851026,-6.1751,11.7024,0.1884
1548883672309723138,-6.1751,11.7024,0.1884
1548883672393894433,-6.1751,11.7024,0.1884
1548883672512347936,-6.1751,11.7024,0.1884
1548883672610057830,-6.1751,11.7024,0.1884
1548883672766664743,-6.1751,11.7024,0.1884
1548883672860721349,-6.1751,11.7024,0.1884
1548883672910411834,-6.1751,11.7024,0.1884
1548883672977610588,-6.1751,11.7024,0.1884
1548883673093904733,-6.1751,11.7024,0.1884
1548883673211809873,-6.1751,11.7024,0.1884
1548883673311699151,-6.1751,11.7024,0.1884
1548883673409730911,-6.1751,11.7024,0.1884
1548883673509706735,-6.1756,11.7033,0.1884
1548883673564046859,-6.1751,11.7024,0.1884
1548883673680177688,-6.173,11.6991,0.1883
1548883673765095472,-6.174,11.6985,0.1883
1548883673911747694,-6.1803,11.6782,0.1884
1548883673996200799,-6.1801,11.6523,0.1893
1548883674056936264,-6.1747,11.6132,0.1898
1548883674176059722,-6.1609,11.5696,0.1888
1548883674237960100,-6.1701,11.5647,0.1888
1548883674296422958,-6.1529,11.5274,0.1889
1548883674357751369,-6.1539,11.5269,0.1889
1548883674417060136,-6.1397,11.4823,0.1884
1548883674475870370,-6.1423,11.4809,0.1884
1548883674635567665,-6.1056,11.4019,0.1863
1548883674752050399,-6.0885,11.3668,0.1853
1548883674869189977,-6.0717,11.335,0.1847
1548883674987870931,-6.0609,11.3,0.1854
1548883675105831384,-6.0648,11.2978,0.1854
1548883675227694034,-6.0311,11.2285,0.1837
1548883675492506265,-6.0338,11.2271,0.1837
1548883675576481342,-6.0248,11.157,0.1834
1548883675696813106,-6.0113,11.1166,0.1821
1548883675824772119,-5.9803,11.0424,0.1794
1548883675899112939,-5.987,11.0388,0.1794
1548883675944888591,-5.966,11.0035,0.1783
1548883676018170356,-5.9701,11.0013,0.1783
1548883676062730550,-5.9519,10.9645,0.1775
1548883676179984807,-5.9383,10.9264,0.1763
1548883676280048847,-5.9498,10.9202,0.1763
1548883676341896295,-5.9338,10.8925,0.1754
1548883676402774095,-5.9344,10.8922,0.1754
1548883676463398694,-5.9201,10.8521,0.1738
1548883676522735118,-5.9244,10.8498,0.1738
1548883676583308219,-5.9096,10.8066,0.1703
1548883676702273130,-5.897,10.7691,0.1712
1548883676764064073,-5.9071,10.7635,0.1712
1548883676823400497,-5.896,10.7262,0.1719
1548883676882273197,-5.8973,10.7255,0.1719
1548883676943738698,-5.8893,10.6934,0.1729
1548883677004016160,-5.8951,10.6902,0.1729
1548883677063645362,-5.8776,10.6485,0.172
1548883677254046440,-5.8356,10.5791,0.1723
1548883677366308927,-5.8447,10.5741,0.1723
1548883677489907026,-5.8088,10.5002,0.1721
