#timestamp [ns],p_WS_R_x [m],p_WS_R_y [m],p_WS_R_z [m]
1548881148809407472,-30.9584,0.1625,-0.799
1548881148936571359,-30.9584,0.1621,-0.799
1548881149036980390,-30.9584,0.1613,-0.799
1548881149138242959,-30.9584,0.1621,-0.799
1548881149236121177,-30.9574,0.1621,-0.7978
1548881149288337707,-30.9574,0.1617,-0.7982
1548881149409246206,-30.9584,0.1621,-0.799
1548881149536663293,-30.9584,0.1617,-0.7986
1548881149650718212,-30.9584,0.1625,-0.7978
1548881149736133575,-30.9584,0.1637,-0.7978
1548881149836472272,-30.9584,0.1625,-0.799
1548881150008120536,-30.9584,0.1621,-0.7986
1548881150136628627,-30.9574,0.1621,-0.7982
1548881150236955165,-30.9574,0.1621,-0.7982
1548881150336482763,-30.9584,0.1621,-0.7986
1548881150489680290,-30.9584,0.1621,-0.799
1548881150609414100,-30.9584,0.1621,-0.799
1548881150693554401,-30.9584,0.1621,-0.799
1548881150836156368,-30.9584,0.1621,-0.7986
1548881150970922470,-30.9584,0.1621,-0.799
1548881151036302566,-30.9584,0.1621,-0.799
1548881151089365243,-30.9584,0.1621,-0.7986
1548881151210305452,-30.9584,0.1621,-0.7975
1548881151337721109,-30.9584,0.1621,-0.799
1548881151451575279,-30.9584,0.1621,-0.799
1548881151536187410,-30.9584,0.1621,-0.799
1548881151692395687,-30.9574,0.1621,-0.799
1548881151810640573,-30.9584,0.1621,-0.799
1548881151937889337,-30.9584,0.1621,-0.799
1548881152036909341,-30.9584,0.1621,-0.799
1548881152136216402,-30.9584,0.1621,-0.7986
1548881152235262870,-30.9584,0.1621,-0.799
1548881152335448026,-30.9584,0.1621,-0.799
1548881152499340057,-30.9584,0.1621,-0.799
1548881152620257139,-30.9574,0.1625,-0.7986
1548881152692068815,-30.9574,0.1621,-0.7986
1548881152739125728,-30.9574,0.1621,-0.7986
1548881152837051153,-30.9574,0.1629,-0.7986
1548881152979196071,-30.9574,0.1621,-0.7994
1548881153036245584,-30.9574,0.1621,-0.7994
1548881153101251602,-30.9584,0.1621,-0.799
1548881153219196319,-30.9574,0.1621,-0.799
1548881153335150480,-30.9574,0.1621,-0.799
1548881153459268569,-30.9584,0.1621,-0.799
1548881153537443399,-30.9584,0.1621,-0.799
1548881153691299676,-30.9574,0.1621,-0.7986
1548881153819606542,-30.9574,0.1621,-0.799
1548881153935332536,-30.9574,0.1621,-0.799
1548881154037056446,-30.9574,0.1621,-0.7986
1548881154136323928,-30.9584,0.1621,-0.799
1548881154180672407,-30.9584,0.1621,-0.799
1548881154236710071,-30.9584,0.1621,-0.799
1548881154312368392,-30.9564,0.1621,-0.799
1548881154436589479,-30.9494,0.164,-0.7976
1548881154537545919,-30.9494,0.1669,-0.7976
1548881154692818880,-30.9264,0.1683,-0.7968
1548881154781615972,-30.9154,0.1698,-0.7953
1548881154836285114,-30.9154,0.1723,-0.7953
1548881154960330486,-30.9024,0.1779,-0.7953
1548881155023933649,-30.8843,0.1726,-0.7966
1548881155105940580,-30.8844,0.1713,-0.7966
1548881155145765304,-30.8614,0.1739,-0.7936
1548881155209317922,-30.8614,0.177,-0.7936
1548881155266219377,-30.8375,0.1792,-0.7897
1548881155388237476,-30.8094,0.1882,-0.7912
1548881155510532617,-30.7814,0.1862,-0.7896
1548881155631752252,-30.7484,0.1928,-0.7893
1548881155756319284,-30.7103,0.1991,-0.7883
1548881155872620344,-30.6754,0.1982,-0.7861
1548881156004169940,-30.6393,0.2073,-0.788
1548881156101115465,-30.6392,0.2142,-0.788
1548881156164976835,-30.6053,0.222,-0.7833
1548881156231286287,-30.5683,0.2167,-0.7834
1548881156304347038,-30.5683,0.2207,-0.7834
1548881156481316566,-30.4992,0.2281,-0.7828
1548881156595515251,-30.4674,0.2201,-0.7789
1548881156708372116,-30.4673,0.2334,-0.7789
1548881156809367656,-30.4312,0.246,-0.7756
1548881156955221652,-30.3623,0.2501,-0.7716
1548881157008863210,-30.3622,0.2542,-0.7716
1548881157072403907,-30.3291,0.2553,-0.7779
1548881157172413349,-30.3289,0.2694,-0.7779
1548881157315212011,-30.2462,0.2616,-0.7705
1548881157515870094,-30.1952,0.2587,-0.7694
1548881157616932868,-30.1292,0.238,-0.7746
1548881157675369501,-30.0452,0.2393,-0.774
1548881157796762466,-29.9913,0.222,-0.7754
1548881157917307853,-29.9542,0.2308,-0.7742
1548881157962170362,-29.9542,0.2286,-0.7742
1548881158038015842,-29.8861,0.2233,-0.7805
1548881158162838459,-29.7981,0.2086,-0.7812
1548881158260374307,-29.7982,0.1991,-0.7812
1548881158322544097,-29.744,0.1957,-0.7885
1548881158467447996,-29.6989,0.1947,-0.7913
1548881158549469709,-29.6388,0.2027,-0.7927
1548881158669625043,-29.5938,0.1992,-0.7943
1548881158767905712,-29.5938,0.1905,-0.7943
1548881158866499185,-29.5418,0.1908,-0.7956
1548881159027744293,-29.4845,0.189,-0.8053
1548881159149535655,-29.4647,0.1895,-0.7989
1548881159256330251,-29.4646,0.196,-0.7989
1548881159354169130,-29.4224,0.1857,-0.8071
1548881159511274814,-29.3903,0.1931,-0.8097
1548881159634391546,-29.3703,0.1872,-0.8102
1548881159756315946,-29.3704,0.1839,-0.8102
1548881159853502988,-29.3483,0.1915,-0.8116
1548881160000542879,-29.2953,0.1902,-0.8096
1548881160052493810,-29.2953,0.1891,-0.8096
1548881160120291471,-29.2693,0.196,-0.8077
1548881160240204811,-29.2442,0.1984,-0.8106
1548881160298034429,-29.2442,0.1966,-0.8106
1548881160480030775,-29.1902,0.1959,-0.8114
1548881160601773023,-29.1613,0.1982,-0.8068
1548881160700355052,-29.1613,0.1926,-0.8068
1548881160800620317,-29.1332,0.1859,-0.8109
1548881160941912412,-29.1121,0.2061,-0.8104
1548881161045462608,-29.0871,0.2152,-0.8085
1548881161190676450,-29.0552,0.2084,-0.8035
1548881161290272235,-29.0164,0.2116,-0.7975
1548881161446573734,-28.9485,0.2117,-0.7922
1548881161490462779,-28.9485,0.2106,-0.7922
1548881161566586971,-28.9153,0.2169,-0.796
1548881161693529844,-28.8853,0.2286,-0.7931
1548881161808521747,-28.8455,0.2242,-0.7885
1548881161922816514,-28.8143,0.2329,-0.7903
1548881162037975549,-28.8142,0.2423,-0.7903
1548881162100474119,-28.7753,0.2458,-0.7879
1548881162164983034,-28.7435,0.2387,-0.7794
